Name,Ticker,IM Code,Industry,Sub-Industry,naming,Price (local currency),Currency,Total return from 2018_1_1 (in %) to 2025_September 4,Company Info,Directors,GICS_Industry,GICS Sub industry,Business Description,Market Cap (Local Currency),Market Cap (USD),Last trade date,Sales,"Total Revenue (Local currency, $)","LTM revenue (Local currency, $)","NTM revenue (Local currency, $)","Asset Turnover (x, LTM) ",Profits,"Net profits (Actual, nearest fiscal year FY0, local currency, $)","EPS Trailing (Col A / Col AY), Local",EPS Actual (FY0),EPS Forecast (FY1),EPS Growth (%),PEG (X),"Operating Margin (%, Trailing)",Operating Profits per share,"ROA (%, Trailing)","ROE (%, Trailing)",Operating Leverage,Contributing Margin,"Operating Margin (%, Trailing)",Operating Leverage (x) (chg of EBIT / chg. Of total revenue),Financials,"Altman Z Score Manufacturing (x, FY0)","Altman Z Score Non-Manufacturing (x, FY0)","RoA (%, Trailinig)","RoE (%, Trailing)","Total Assets (Local, $ FY0)","Net assets (Local $, FY0)",Net tangible assets,"Total Debt (Local $, FY0)","Interest expense per year ($, FY0)","Effective average interest rate (%, FY0)","Interest Coverage Ratio (x, FY0)","Debt to Total assets (%, FY0)",Debt to Equity %  (Trailing),"EBITDA  (Local $, FY0)","EBITDA  (Local $, FY-1)",Chg. Of EBITDA,"Cash flow from operations (Local $, FY0)","Cash flow from operations (Local $, FY-1)",Chg. Of CF from Operations,"Interest coverage ratio (x, FY0)","Current Ratio (x, Trailing)","Quick Ratio (x, Trailing)","Ratio of ""Operating CF / Total Debt""  (x)",Valuation,"PE ratio (x, Trailing)","PEG ratio (x, FY1)","PE Ratio (x, consensus forecast)","Dividend yield (%, FY0)",Dividend payout ratio  (%),Dividend (local currency),"Dividened per Share of common stock primary, 3 yr CAGR","Dividened per Share of common stock primary, 5 yr CAGR","Dividened per Share of common stock primary, 10 yr CAGR",Standard Deviation of Dividend per share in the last 3 years,Standard Deviation of Dividend per share in the last 5 years,Standard Deviation of Dividend per share in the last 10 years,"Net assets per share ($, FY0)",,Altman Z score__Manufatcuring weight,WorkingCapital to Total Assets (x),[WorkCap / Tassets] * 1.2,Retained Earnings Accumulated to Total Assets (x),[RetEarnings / Tassets] *1.4,EBIT / Total Assets (x),[EBIT / Tassets]  *3.3,Mkt Value of Equity / BV of Total Liabilities (x),[MktV Equity / BV Tliab]  *0.6,Sales to Total Assets (x ),[Sales / Tassets]  *1,Sum check,,52w_Hi (Local),52w_Lo (Local)
Shanghai Pharmaceuticals Holding Co Ltd,601607.SS,A1,Body,Drug companies ,IS - A1 Drug companies  - Shanghai Pharmaceuticals Holding Co Ltd - 601607.SS,18.26,Chinese Renminbi,-9.739,,Mr. Qiuhua Yang,Health Care Providers & Services,Health Care Distributors,"Shanghai Pharmaceuticals Holding Co Ltd is a China-based company principally engaged in pharmaceutical industry, distribution and retail business. The Company's products include innovative drugs, chemical drugs, traditional Chinese medicines and rare disease drugs. The Company's products are mainly used in the cardiovascular system, digestive tract and metabolism, systemic anti-infection, central nervous system, anti-tumor and immunomodulators, musculoskeletal system and respiratory system. In addition, the Company also provides medical logistics and warehousing services. The Company distributes its products both in the domestic market and to overseas markets.","60,952,585,492.76","8,541,900,792.88",4/9/2025,,"275,250,934,890.00","277,430,571,860.00","310,653,569,582.50",1.232,,"4,552,528,000.00",1.63,1.23,1.349,9.65%,1.399,3.628,,3.201,8.342,,,3.628,0.677,,2.218,2.764,3.201,8.342,"221,209,430,150","84,229,983,940",,"65,849,111,190","1,856,737,430",2.907,4.975,29.77%,73.97913656,"12,231,524,000","11,528,565,000",6.10%,"5,827,257,730","5,231,519,730",11.39%,4.975,1.344,1.049,0.088,,11.171,1.399,12.615,2.03%,17.76%,0.37,(4.137%),(3.406%),2.466%,0.107 ,0.084 ,0.085 ,22.716,,2.218,0.207,0.248,0.176,0.246,0.043,0.141,0.521,0.312,1.271,1.271,2.218,,23.20,17.28
China Resources Sanjiu Medical & Pharmaceutical Co Ltd,000999.SZ,A1,Body,Drug companies ,IS - A1 Drug companies  - China Resources Sanjiu Medical & Pharmaceutical Co Ltd - 000999.SZ,29.25,Chinese Renminbi,112.634,,Mr. Huawei Qiu,Pharmaceuticals,Pharmaceuticals,"China Resources Sanjiu Medical & Pharmaceutical Co Ltd is a China-based company principally engaged in the research and development and intelligent manufacturing of pharmaceutical and health products. The Company mainly operates its business through three segments. The Pharmaceutical Industry segment is engaged in the production of consumer health (CHC) health products, dietary supplements, traditional Chinese medicine health products, and prescription drugs. The Printing and Packaging segment is engaged in design, printing, and packaging. The Pharmaceutical and Medical Device Wholesale and Retail Industry segment is engaged in the wholesale and retail of pharmaceuticals and medical devices. The Company mainly distributes its products under the brand 999. The Company conducts its business in the domestic and overseas markets.","48,834,773,656.17","6,859,400,177.64",4/9/2025,,"27,616,611,770.00","28,320,759,230.00","33,486,605,810.00",0.611,,"3,369,349,000.00",1.67,2.02308,2.184,7.93%,NULL,14.223,,7.206,13.540,,,14.223,1.359,,3.577,6.419,7.206,13.540,"40,081,972,320","25,715,032,430",,"2,365,013,360",NULL,2.509,55.078,5.90%,18.16921002,"5,351,102,000","4,580,968,000",16.81%,"4,402,199,390","4,191,742,950",5.02%,55.078,1.665,1.286,1.861,,17.495,NULL,12.317,3.47%,87.65%,1.02,26.246%,31.889%,15.448%,0.171 ,0.252 ,0.267 ,15.402,,3.577,0.206,0.248,0.418,0.586,0.110,0.363,2.822,1.693,0.688,0.688,3.577,,40.42,27.88
Sichuan Kelun Pharmaceutical Co Ltd,002422.SZ,A1,Body,Drug companies ,IS - A1 Drug companies  - Sichuan Kelun Pharmaceutical Co Ltd - 002422.SZ,39.02,Chinese Renminbi,80.704,,Mr. Gexin Liu,Pharmaceuticals,Pharmaceuticals,"Sichuan Kelun Pharmaceutical Co Ltd is a China-based company principally engaged in the research, development, production and sales of dosage forms of pharmaceuticals and antibiotic intermediates, active pharmaceutical ingredients, pharmaceutical packaging materials and other products. The Company operates its businesses through three segments. The Chuanning segment is mainly engaged in the manufacturing of pharmaceutical intermediates. The Botai segment is mainly engaged in the research, development, production and sales of innovative drugs. The Other Business segment is mainly engaged in the research and production of large-volume injections, the research, development, production and sales of other pharmaceutical products and other operating businesses. The Company mainly operates its businesses in the domestic and overseas markets.","62,355,169,424.95","8,727,151,750.08",4/9/2025,,"21,812,414,490.00","19,068,639,870.00","22,443,583,660.00",0.501,,"2,935,892,000.00",1.34,1.86,1.804,-3.02%,NULL,15.946,,5.948,9.400,,,15.946,10.513,,3.681,6.852,5.948,9.400,"37,316,259,480","27,032,831,320",,"4,406,007,700","151,624,890",2.546,27.434,11.81%,19.9130093,"5,774,211,000","5,153,522,000",12.04%,"4,492,861,840","5,337,068,930",-15.82%,27.434,2.008,1.620,1.020,,29.119,NULL,20.204,1.96%,46.79%,0.76,21.443%,12.416%,19.829%,0.170 ,0.198 ,0.250 ,NULL,,3.681,0.236,0.283,0.354,0.496,0.113,0.372,3.231,1.938,0.591,0.591,3.681,,41.72,25.72
Beijing Tong Ren Tang Co Ltd,600085.SS,A1,Body,Drug companies ,IS - A1 Drug companies  - Beijing Tong Ren Tang Co Ltd - 600085.SS,35.08,Chinese Renminbi,20.961,,Ms. Zhaohua Zhang,Pharmaceuticals,Pharmaceuticals,"Beijing Tong Ren Tang Co Ltd is a China-based company principally engaged in the production and sales of traditional Chinese patent medicines. The Company operates its businesses through three segments, including Manufacturing segment, Pharmaceutical Retail segment and Other Business segment. The Company's main products consist of liuwei dihuang series, tongren dahuoluo series, tongren niuhuang qingxin series, angong niuhuang series and donkey-hide gelatin series. The Company distributes its products under the brand of Tongrentang. The Company is also involved in the operation of Tongrentang drug stores. The Company's products have rich dosage forms, covering categories such as internal medicine, surgery, gynecology, and pediatrics. The Company distributes its products in domestic market and to overseas markets.","48,110,503,106.48","6,756,143,587.69",4/9/2025,,"18,597,281,610.00","18,603,197,250.00","21,264,662,375.00",0.589,,"1,526,275,000.00",1.06,1.113,1.259,13.15%,4.642,13.504,,6.635,10.836,,,13.504,-2.116,,3.813,8.250,6.635,10.836,"31,197,524,020",NULL,,"5,212,302,810","133,759,590",2.977,20.485,16.71%,33.93084744,"3,827,605,000","3,940,239,000",-2.86%,"760,985,270","1,869,491,850",-59.29%,20.485,3.182,1.765,0.146,,33.158,4.642,25.521,2.85%,NULL,1.00,51.078%,5.642%,16.348%,0.328 ,0.288 ,0.229 ,NULL,,3.813,0.516,0.619,0.312,0.437,0.089,0.295,3.092,1.855,0.607,0.607,3.813,,46.27,30.84
Shanghai Fosun Pharmaceutical Group Co Ltd,600196.SS,A1,Body,Drug companies ,IS - A1 Drug companies  - Shanghai Fosun Pharmaceutical Group Co Ltd - 600196.SS,29.33,Chinese Renminbi,-28.128,,Mr. Yuqing Chen,Pharmaceuticals,Pharmaceuticals,"Shanghai Fosun Pharmaceutical Group Co Ltd is a China-based company mainly engaged in the research and development, manufacturing and sales of pharmaceutical products. The Company operates in five segments. Pharmaceutical segment is mainly engaged in the manufacturing of innovative drugs, mature pharmaceutical products and vaccines. Medical Devices and Medical Diagnostics segment is mainly engaged in the manufacturing and sales of medical cosmetic devices such as molecular diagnosis, immunodiagnosis, and microbial diagnosis. Medical Health Services segment is mainly engaged in the operation of an online and offline integrated medical service platform. Pharmaceutical Distribution and Retail segment is mainly engaged in the wholesale and retail of pharmaceutical products. Others segment is engaged in other pharmaceutical-related businesses. The Company's products are mainly used in the treatment of tumors, immunity, central nervous system and other fields.","73,307,095,839.41","10,273,338,552.25",4/9/2025,,"41,067,195,860.00","40,118,814,980.00","43,623,719,790.00",0.343,,"2,769,887,000.00",1.22,1.04,1.147,10.27%,NULL,12.699,,3.472,6.846,,,12.699,-166.665,,1.329,1.819,3.472,6.846,"117,460,567,350","60,591,619,970",,"37,521,549,130",NULL,3.870,2.059,31.94%,76.62828518,"8,526,601,000","7,410,510,000",15.06%,"4,476,981,260","3,414,217,060",31.13%,2.059,0.941,0.748,0.119,,24.095,NULL,23.182,1.09%,26.30%,0.32,(17.017%),(3.879%),1.344%,0.128 ,0.100 ,0.083 ,22.682,,1.329,-0.025,-0.030,0.252,0.352,0.026,0.084,0.946,0.567,0.356,0.356,1.329,,31.76,21.89
Jiangsu Hengrui Pharmaceuticals Co Ltd,600276.SS,A1,Body,Drug companies ,IS - A1 Drug companies  - Jiangsu Hengrui Pharmaceuticals Co Ltd - 600276.SS,68.65,Chinese Renminbi,129.170,,Mr. Piaoyang Sun,Pharmaceuticals,Pharmaceuticals,"Jiangsu Hengrui Pharmaceuticals Co Ltd is a China-based company mainly engaged in the research, development, production and sales of drugs. The Company focuses on the field of oncology, covering kinase inhibitors, antibody-drug conjugates (ADCs), tumor immunity, hormone receptor regulation, deoxyribonucleic acid (DNA) repair and epigenetics, supportive care and other research areas. The Company's products include anti-tumor, analgesic anesthesia and contrast agents, which are used in autoimmune diseases, metabolic diseases, cardiovascular diseases, infectious diseases, respiratory diseases, blood diseases, pain management, neurological diseases, ophthalmology, nephrology and other fields. The Company mainly conducts its businesses in domestic and foreign markets.","437,912,374,085.93","64,329,637,530.65",4/9/2025,,"27,984,605,340.00","30,145,064,860.00","35,716,917,607.50",0.587,,"6,336,527,000.00",1.16,1,1.313,31.32%,NULL,28.259,,14.173,15.533,,,28.259,2.105,,40.929,74.137,14.173,15.533,"50,135,645,310","46,315,901,200",,"360,999,240","5,558,750",1.314,1219.530,0.72%,0.379273194,"7,788,720,000","5,225,452,000",49.05%,"7,422,753,040","7,643,665,080",-2.89%,1219.530,10.727,10.031,20.562,,59.078,NULL,49.546,0.29%,NULL,0.20,7.722%,4.601%,23.732%,0.023 ,0.020 ,0.063 ,7.261,,40.929,0.632,0.758,0.741,1.038,0.144,0.476,63.434,38.060,0.596,0.596,40.929,,73.42,42.24
Zhangzhou Pientzehuang Pharmaceutical Co Ltd,600436.SS,A1,Body,Drug companies ,IS - A1 Drug companies  - Zhangzhou Pientzehuang Pharmaceutical Co Ltd - 600436.SS,202.93,Chinese Renminbi,236.959,,Mr. Zhihui Lin,Pharmaceuticals,Pharmaceuticals,"Zhangzhou Pientzehuang Pharmaceutical Co Ltd is a China-based company principally engaged in pharmaceutical manufacturing, pharmaceutical distribution and cosmetics businesses. The Company operates its businesses through four segments. The Pharmaceutical Manufacturing segment is primarily engaged in the production and sales of the Pien Tze Huang series of products, including tablets and capsules. The Cosmetics Manufacturing segment primarily includes multiple skin care and washing brands such as Pien Tze Huang, Queen, and Doctor Jin. The Pharmaceutical Distribution segment is primarily engaged in brand promotion, product maintenance, and distribution. The Others segment includes other related businesses. The Company mainly operates its businesses in the domestic and overseas markets.","122,429,447,063.31","17,082,188,347.10",4/9/2025,,"10,787,863,090.00","10,515,812,670.00","11,948,365,880.00",0.586,,"2,977,003,000.00",4.47,4.93,5.069,2.82%,3.884,29.454,,15.061,18.755,,,29.454,0.750,,26.646,48.581,15.061,18.755,"17,539,661,660","14,838,737,000",,"1,245,042,610","37,623,000",2.893,90.971,7.10%,7.882994678,"3,632,712,000","3,514,418,000",3.37%,"1,313,708,000","2,206,631,520",-40.47%,90.971,4.742,2.871,1.055,,45.382,3.884,35.115,1.46%,NULL,2.97,34.893%,29.357%,28.604%,0.526 ,0.577 ,0.673 ,NULL,,26.646,0.511,0.613,0.712,0.997,0.198,0.652,39.600,23.760,0.623,0.623,26.646,,284.34,189.90
Hangzhou Tigermed Consulting Co Ltd,300347.SZ,A1,Body,Healthcare (consulting / CRO) ,IS - A1 Healthcare (consulting / CRO)  - Hangzhou Tigermed Consulting Co Ltd - 300347.SZ,62.42,Chinese Renminbi,178.491,,Mr. Xiaoping Ye,Life Sciences Tools & Services,Life Sciences Tools & Services,"Hangzhou Tigermed Consulting Co Ltd is a China-based holding company engaged in providing clinical trial services for research and development of new drugs. The Company operates two segments. The Clinical Trial Solutions segment provides clinical trial operation services and medical translation services to biopharmaceutical and medical device companies and thus help them conduct clinical trials of innovative drugs, generic drugs and medical devices. The Clinical-Related and Laboratory Services segment is involved in provision of analytical services, such as data management and statistical analysis; logistics and execution support services, such as clinical trial site management; administrative assistance, such as patient recruitment; as well as consulting services. This segment also provides laboratory services for preclinical and clinical development stages through its subsidiary. The Company conducts its businesses in the domestic and overseas markets.","51,476,334,232.34","7,289,213,607.02",4/9/2025,,"6,603,120,160.00","6,495,320,230.00","7,658,467,837.50",0.222,,"405,143,000.00",0.35,0.47,1.366,190.58%,NULL,5.726,,0.861,1.441,,,5.726,3.734,,4.434,8.066,0.861,1.441,"28,671,015,790","24,081,615,480",,"2,870,217,500","141,235,380",4.526,7.716,10.01%,15.33172078,"1,066,522,000","2,717,640,000",-60.76%,"1,097,001,900","1,150,437,940",-4.64%,7.716,1.634,1.625,0.382,,178.526,NULL,40.195,0.48%,86.71%,0.30,(15.657%),1.535%,16.230%,0.123 ,0.137 ,0.190 ,27.960,,4.434,0.092,0.110,0.318,0.446,0.037,0.123,5.880,3.528,0.226,0.226,4.434,,82.79,41.61
Pharmaron Beijing Co Ltd,300759.SZ,A1,Body,Healthcare (consulting / CRO) ,IS - A1 Healthcare (consulting / CRO)  - Pharmaron Beijing Co Ltd - 300759.SZ,29.65,Chinese Renminbi,527.177,,Mr. Boliang Lou,Life Sciences Tools & Services,Life Sciences Tools & Services,"Pharmaron Beijing Co Ltd is a China-based company mainly engaged in pharmaceutical research and development. The Company operates through five segments. The Laboratory Services segment includes laboratory chemistry and bioscience services, covering small molecule drugs, oligonucleotides, peptides, antibodies, antibody-drug conjugates, and cell and gene therapy products. The Chemical and Formulation Process Development and Manufacturing Services segment includes active pharmaceutical ingredient process development and manufacturing, as well as preformulation and formulation development. The Clinical Research Services segment includes international and domestic clinical research services. The Large Molecule and Cell and Gene Therapy Services segment includes large molecule drug discovery, development, and manufacturing services, as well as cell and gene therapy laboratory and gene therapy drug development and manufacturing services. The Company also operates through the others segment.","49,574,385,259.08","6,983,131,531.35",4/9/2025,,"12,275,774,880.00","13,112,262,310.00","15,283,396,332.50",0.547,,"1,793,351,000.00",0.78,1.011,1.005,-0.61%,2.270,12.909,,5.347,10.094,,,12.909,0.120,,3.977,7.051,5.347,10.094,"23,927,398,320","14,632,850,690",,"5,975,492,470",NULL,3.087,7.379,24.97%,43.13925968,"3,392,752,000","2,861,741,000",18.56%,"2,388,384,000","2,753,538,940",-13.26%,7.379,1.696,1.423,0.400,,37.916,2.270,25.800,0.67%,NULL,0.20,0.000%,24.572%,NULL,0.000 ,0.056 ,0.056 ,8.229,,3.977,0.141,0.170,0.303,0.425,0.071,0.235,4.433,2.660,0.487,0.487,3.977,,36.42,19.15
WuXi AppTec Co Ltd,603259.SS,A1,Body,Healthcare (consulting / CRO) ,IS - A1 Healthcare (consulting / CRO)  - WuXi AppTec Co Ltd - 603259.SS,101.94,Chinese Renminbi,730.820,,Dr. Ge Li,Life Sciences Tools & Services,Life Sciences Tools & Services,"WuXi AppTec Co Ltd is a China-based company principally engaged in the business of new drug research and development and manufacturing services. The Company conducts its business through six segments. The WuXi Chemistry Segment is primarily engaged in providing new drug research, development and manufacturing services. The WuXi Testing Segment is primarily engaged in providing pharmaceuticals, medical devices, and in vitro diagnostic reagents services. The WuXi Biology Segment is primarily engaged in providing drug discovery and research services. The WuXi ATU Segment is primarily engaged in providing customers with integrated medical product process development, manufacturing and testing services. The WuXi DDSU Segment is primarily engaged in providing customers with integrated new drug research and development services. The Other Segment is primarily engaged in administrative services, sales of raw materials and sales of waste materials.","299,843,087,214.98","42,081,716,220.48",4/9/2025,,"39,241,431,360.00","42,799,794,980.00","48,377,560,390.00",0.540,,"9,450,308,000.00",4.82,3.26,4.786,46.81%,1.128,38.478,,17.344,23.370,,,38.478,0.890,,6.222,11.695,17.344,23.370,"80,325,824,410","60,069,581,000",,"8,516,320,740","268,565,390",3.766,34.682,10.60%,14.0383523,"13,807,325,000","14,046,018,000",-1.70%,"12,406,514,840","13,386,911,780",-7.32%,34.682,2.278,1.918,1.457,,21.149,1.128,20.760,0.96%,34.77%,0.98,23.799%,37.383%,NULL,0.222 ,0.352 ,0.355 ,20.459,,6.222,0.280,0.336,0.415,0.582,0.121,0.399,7.327,4.396,0.510,0.510,6.222,,115.79,36.86
Aier Eye Hospital Group Co Ltd,300015.SZ,A1,Body,Hospital (ophthalmology) ,IS - A1 Hospital (ophthalmology)  - Aier Eye Hospital Group Co Ltd - 300015.SZ,12.65,Chinese Renminbi,139.346,,Mr. Bang Chen,Health Care Providers & Services,Health Care Facilities,"Aier Eye Hospital Group Co Ltd is a China-based company mainly engaged in the diagnosis and treatment of various ophthalmic diseases, surgical services and medical optometry. The Company mainly provides refractive surgery, cataract surgery, anterior segment surgery, posterior segment surgery and optometry services. The Company conducts its businesses in domestic and foreign markets.","117,964,616,033.90","16,518,647,306.62",4/9/2025,,"20,982,894,150.00","21,944,791,790.00","25,231,783,105.00",0.654,,"3,556,056,000.00",0.39,0.385,0.430,11.58%,3.979,21.400,,11.174,17.081,,,21.400,-4.638,,7.659,13.071,11.174,17.081,"33,255,307,270","21,812,013,000",,"7,011,045,470",NULL,3.961,18.119,21.08%,32.46422906,"6,633,440,000","6,687,071,000",-0.80%,"4,881,686,200","5,871,890,000",-16.86%,18.119,1.455,1.306,0.696,,32.857,3.979,26.907,1.27%,NULL,0.16,31.206%,24.881%,29.558%,0.047 ,0.046 ,0.044 ,2.339,,7.659,0.090,0.108,0.353,0.494,0.146,0.482,9.855,5.913,0.661,0.661,7.659,,19.09,9.20
Shenzhen Mindray Bio-Medical Electronics Co Ltd,300760.SZ,A1,Body,Medical devices ,IS - A1 Medical devices  - Shenzhen Mindray Bio-Medical Electronics Co Ltd - 300760.SZ,233.5,Chinese Renminbi,265.365,,Mr. Xiting Li,Health Care Equipment & Supplies,Health Care Equipment,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd. is a China-based company principally engaged in the research, development, manufacture, sales and services-related business of medical apparatus and equipment. The Company’s products are mainly applied in the fields, including life information and support, in-vitro diagnosis and medical imaging. The Company is also engaged in the provision of one-stop integrated solutions to medical institutions.","283,101,101,274.88","39,625,818,657.35",4/9/2025,,"36,725,749,550.00","32,938,156,610.00","41,167,074,707.50",0.567,,"11,668,487,000.00",7.58,9.633,9.628,-0.05%,2.412,31.023,,16.125,24.278,,,31.023,0.151,,11.431,20.602,16.125,24.278,"56,643,545,140","40,885,178,000",,"298,486,480","19,413,640",6.543,640.357,0.53%,0.818690067,"14,214,740,000","13,254,119,000",7.25%,"12,432,041,280","11,062,025,300",12.38%,640.357,2.477,2.012,41.650,,30.801,2.412,22.084,2.03%,65.04%,4.74,21.451%,33.118%,NULL,1.259 ,1.865 ,2.048 ,NULL,,11.431,0.269,0.322,0.498,0.698,0.238,0.785,14.873,8.924,0.702,0.702,11.431,,351.60,206.80
Shenzhen New Industries Biomedical Engineering Co Ltd,300832.SZ,A1,Body,Medical devices ,IS - A1 Medical devices  - Shenzhen New Industries Biomedical Engineering Co Ltd - 300832.SZ,64.83,Chinese Renminbi,194.938,,Mr. Wei Rao,Health Care Equipment & Supplies,Health Care Supplies,"Shenzhen New Industries Biomedical Engineering Co Ltd is a China-based company principally engaged in the research and development, production, sales, and customer service of in-vitro diagnostic products. The Company’s products include the MAGLUMI X10 fully-auto chemiluminescence immunoassay analyzer and the Biossays C8 fully-auto biochemical analyzer, reagents and others. The Company distributes its products within the domestic market and to overseas markets.","50,937,435,561.95","7,112,991,773.36",4/9/2025,,"4,535,404,460.00","4,509,296,890.00","5,516,923,667.50",0.491,,"1,828,457,000.00",2.16,2.327,2.340,0.54%,2.071,42.660,,18.502,20.254,,,42.660,0.681,,34.712,62.526,18.502,20.254,"9,619,453,530","8,623,862,880",,"4,101,080","421,950",9.093,4635.260,0.04%,0.048616834,"2,295,495,000","2,044,099,000",12.30%,"1,356,439,050","1,418,292,420",-4.36%,4635.260,7.384,5.667,330.752,,30.028,2.071,23.899,2.01%,NULL,1.30,29.399%,NULL,NULL,0.316 ,0.321 ,0.321 ,NULL,,34.712,0.431,0.517,0.667,0.934,0.219,0.723,53.381,32.029,0.508,0.508,34.712,,97.20,49.01
Shanghai United Imaging Healthcare Co Ltd,688271.SS,A1,Body,Medical devices ,IS - A1 Medical devices  - Shanghai United Imaging Healthcare Co Ltd - 688271.SS,141.2,Chinese Renminbi,-21.673,,Mr. Qiang Zhang,Health Care Equipment & Supplies,Health Care Equipment,"Shanghai United Imaging Healthcare Co Ltd is a China-based company that mainly provides medical imaging equipment, radiotherapy products, life science instruments and medical digital and intelligent solutions. Its products include Magnetic Resonance Imaging Systems (MR), X-ray Computed Tomography (CT), X-ray Imaging Systems (XR), Molecular Imaging Systems (PET/CT, PET/MR), Medical Linear Accelerator Systems (RT) and Life Science Instruments. In the field of digital diagnosis and treatment, the Company provides United Imaging Medical Cloud services to realize cloud collaboration of equipment and applications and sharing of medical resources, and to provide comprehensive solutions for end customers.","116,369,478,400.48","16,283,738,777.66",4/9/2025,,"10,300,104,390.00","10,982,519,540.00","14,527,984,882.50",0.395,,"1,261,869,000.00",1.59,1.54,2.327,51.14%,1.819,8.683,,4.522,6.480,,,8.683,4.181,,9.074,17.604,4.522,6.480,"28,035,688,870","20,367,668,400",,"684,683,540","9,073,220",1.081,123.064,2.44%,2.072998895,"1,678,418,000","2,350,389,000",-28.59%,"-619,024,250","132,511,080",-567.15%,123.064,3.000,2.159,-0.904,,88.752,1.819,52.054,NULL,13.22%,0.20,NULL,NULL,NULL,0.029 ,0.029 ,0.029 ,NULL,,9.074,0.493,0.591,0.200,0.279,0.042,0.138,12.799,7.679,0.386,0.386,9.074,,154.06,92.00
Focus Media Information Technology Co Ltd,002027.SZ,A2,Soul,Advertising ,IS - A2 Advertising  - Focus Media Information Technology Co Ltd - 002027.SZ,8.36,Chinese Renminbi,-7.235,,Mr. Nanchun (Jason) Jiang,Media,Advertising,Focus Media Information Technology Co Ltd is a China-based company mainly engaged in the development and operation of life circle media. The Company's main products include building media (such as building screen media and framed flat media) and cinema screen advertising media. The Company mainly conducts business in the domestic Chinese market.,"120,735,099,073.08","16,947,045,915.91",4/9/2025,,"12,262,102,810.00","12,407,188,140.00","13,539,107,925.00",0.529,,"5,155,394,000.00",0.37,0.357,0.384,7.45%,NULL,50.536,,22.401,31.884,,,50.536,0.323,,13.209,24.401,22.401,31.884,"22,798,594,970","17,320,737,950",,"3,069,922,880",NULL,4.260,39.795,13.47%,19.44392582,"9,100,235,000","8,802,595,000",3.38%,"6,641,811,190","7,677,996,750",-13.50%,39.795,2.310,2.308,2.164,,22.666,NULL,20.768,3.95%,89.46%,0.33,(0.795%),36.359%,NULL,0.095 ,0.140 ,0.121 ,1.199,,13.209,0.314,0.377,0.715,1.001,0.229,0.757,17.592,10.555,0.520,0.520,13.209,,8.76,5.22
Mango Excellent Media Co Ltd,300413.SZ,A2,Soul,Television and internet content ,IS - A2 Television and internet content  - Mango Excellent Media Co Ltd - 300413.SZ,25.43,Chinese Renminbi,49.506,,Mr. Huaijun Cai,Entertainment,Movies & Entertainment,"Mango Excellent Media Co Ltd, formerly Happigo Home Shopping Co Ltd, is a China-based company mainly engaged in new media operations. The Company includes three business segments. Its Mango Television (TV) Internet video business segment produces content products such as variety shows, film and television dramas, movies, animations and short videos. Its New Media Interactive Entertainment Content Production Business segment is mainly engaged in the production and operation of content such as film and television dramas, variety shows and games, as well as artist management, music copyright and game development. Its Media Retail Business segment mainly includes TV shopping, media e-commerce and outbound business. The Company is also engaged in other e-commerce businesses and others.","47,571,764,184.86","6,708,650,974.90",4/9/2025,,"14,079,689,570.00","13,083,446,350.00","14,489,694,375.00",0.403,,"1,364,348,000.00",0.57,0.73,0.863,18.25%,NULL,8.554,,3.273,4.687,,,8.554,5.399,,4.382,8.335,3.273,4.687,"32,530,165,140","22,577,060,990",,"1,762,877,660","11,974,780",0.622,103.798,5.42%,1.37112184,"7,482,465,000","6,957,401,000",7.55%,"-25,185,870","1,083,773,260",-102.32%,103.798,1.761,1.600,-0.014,,44.756,NULL,25.259,0.87%,38.72%,0.22,19.168%,17.080%,13.017%,0.044 ,0.044 ,0.073 ,NULL,,4.382,0.248,0.298,0.364,0.509,0.039,0.128,5.010,3.006,0.440,0.440,4.382,,32.10,18.07
Hithink RoyalFlush Information Network Co Ltd,300033.SZ,A3,Money,internet information providers ,IS - A3 internet information providers  - Hithink RoyalFlush Information Network Co Ltd - 300033.SZ,360.09,Chinese Renminbi,695.311,,Mr. Zheng Yi,Capital Markets,Financial Exchanges & Data,"Hithink RoyalFlush Information Network Co., Ltd. is a China-based company principally engaged in the provision of Internet financial information services. The Company mainly provides financial information and data services, mobile financial information services, online market trading system services, fund sales services and other services to securities companies and mobile operators. The Company operates its business mainly in domestic market.","193,581,673,303.59","27,176,600,666.54",4/9/2025,,"4,186,794,650.00","4,576,755,970.00","6,221,469,997.50",0.468,,"1,823,266,690.00",3.65,3.39,4.757,40.32%,NULL,39.357,,19.405,26.910,,,39.357,1.892,,33.453,61.154,19.405,26.910,"10,976,501,570","7,975,882,560",,0,"21,590",4.551,81500.025,0.00%,0,"1,837,707,000","1,381,800,000",32.99%,"2,315,506,810","1,591,901,420",45.46%,81500.025,2.981,2.981,#DIV/0!,,98.655,NULL,69.513,0.83%,NULL,3.00,18.563%,28.689%,53.995%,0.506 ,0.807 ,0.946 ,NULL,,33.453,0.591,0.709,0.641,0.897,0.169,0.558,51.479,30.887,0.402,0.402,33.453,,426.88,97.60
